date,day_of_week,stress_score,caffeine_mg,caffeine_hours_before_bed,screen_time_before_bed_min,room_temp_c,noise_level_db,exercise_minutes,exercise_time_of_day,last_meal_delta_hr,sleep_duration_min,sleep_quality
2025-01-01,2,5.46,60.8,9.25,53.8,16.99,27.6,27.6,afternoon,2.48,452.4,6.25
2025-01-02,3,5.83,129.8,10.38,44.4,18.95,41.0,5.8,evening,2.44,393.2,5.92
2025-01-03,4,6.38,120.4,5.72,28.0,21.46,40.9,33.3,afternoon,5.07,402.9,6.31
2025-01-04,5,5.24,158.7,8.39,42.7,18.99,31.4,38.0,morning,3.15,434.8,6.88
2025-01-05,6,5.23,134.7,7.61,49.5,21.72,38.5,30.8,afternoon,0.75,398.9,5.71
2025-01-06,0,4.68,101.2,11.48,17.7,22.24,25.0,18.3,afternoon,3.2,463.6,7.84
2025-01-07,1,4.56,89.1,9.57,31.2,18.2,28.9,6.6,morning,2.67,414.8,7.3
2025-01-08,2,4.85,156.5,6.07,44.1,19.31,35.1,17.4,afternoon,3.08,429.3,7.15
2025-01-09,3,5.25,148.6,9.0,33.0,19.74,37.4,0.0,none,0.91,425.8,5.21
2025-01-10,4,4.5,93.8,10.9,27.9,21.83,30.5,20.9,morning,2.09,372.8,7.83
2025-01-11,5,5.01,134.4,3.22,16.1,20.63,33.8,29.7,afternoon,4.42,389.0,6.81
2025-01-12,6,5.14,134.2,9.08,61.7,21.14,49.7,1.2,none,1.39,355.6,4.52
2025-01-13,0,5.54,110.4,2.59,14.7,21.06,44.7,64.9,morning,3.0,338.1,5.6
2025-01-14,1,5.52,74.8,5.75,22.8,20.25,46.5,28.1,morning,1.26,393.9,5.21
2025-01-15,2,5.27,228.0,7.39,54.7,19.6,28.5,5.7,afternoon,5.05,447.0,5.81
2025-01-16,3,4.51,172.5,8.15,31.9,20.43,32.8,33.9,morning,1.03,424.3,5.96
2025-01-17,4,5.84,135.5,6.64,40.7,22.85,39.8,16.8,morning,3.01,436.4,7.25
2025-01-18,5,4.63,35.3,9.95,79.5,20.18,34.9,54.2,evening,4.19,432.4,4.97
2025-01-19,6,4.49,116.1,4.51,51.8,23.03,38.7,37.9,morning,2.44,371.0,5.6
2025-01-20,0,4.06,93.4,9.75,8.5,20.56,34.1,18.4,morning,3.15,437.9,8.78
2025-01-21,1,3.94,99.1,7.73,38.5,18.55,38.7,29.6,evening,4.75,418.6,7.16
2025-01-22,2,3.31,72.7,7.95,59.1,19.19,32.8,0.0,none,1.23,384.6,5.75
2025-01-23,3,3.92,7.0,2.6,77.6,18.18,29.2,61.7,morning,1.09,429.5,5.86
2025-01-24,4,5.59,65.0,6.26,50.5,21.28,35.0,22.3,morning,2.21,431.4,6.51
2025-01-25,5,4.96,148.0,8.04,48.1,21.13,38.4,25.0,evening,2.88,501.4,6.84
2025-01-26,6,6.11,150.9,2.71,22.8,22.64,40.1,34.6,morning,3.61,377.6,5.89
2025-01-27,0,5.32,138.1,7.16,29.2,20.31,36.0,28.1,evening,0.2,427.9,6.33
